'Date','Duration(s)','Width (mi)'
1950,73,83
1952,189,85
1954,155,95
1955,427,157
1956,284,266
1958,310,129
1959,181,75
1961,165,160
1962,248,91
1963,99,63
1965,315,123
1966,117,52
1968,39,64
1970,207,95
1972,155,109
1973,423,159
1974,308,214
1976,286,123
1977,157,61
1979,169,185
1980,248,92
1981,122,67
1983,310,123
1984,119,53
1985,118,430
1986,1,1
1987,7,3
1988,216,104
1990,152,125
1991,413,160
1992,320,182
1994,263,117
1995,129,48
1997,170,221
1998,248,94
1999,142,69
2001,296,125
2002,124,54
2003,117,338
2005,42,17
2006,247,114
2008,147,144
2009,399,160
2010,320,160
