'Control','Test'
0.003562,0.002477
0.005216,0.002725
0.00571,0.00217
0.004985,0.002559
0.005852,0.002348
0.003542,0.002524
0.005453,0.002812
0.00638,0.002734
0.005644,0.002516
0.005767,0.002731
0.005711,0.003429
0.005157,0.003243
0.005413,0.003649
0.004762,0.003112
0.004346,0.003491
0.004194,0.003108
0.006363,0.003593
0.004697,0.003716
0.005302,0.002852
0.005863,0.003491
0.005606,0.003342
0.004988,0.003429
0.006509,0.003799
0.00579,0.003579
0.005515,0.003877
0.00634,0.003211
0.005179,0.003553
0.005657,0.003117
0.004937,0.00349
0.005752,0.003702
0.005612,0.003382
0.005096,0.004878
0.005198,0.00384
0.005785,0.003818
0.00528,0.004005
0.005468,0.004224
0.005517,0.003605
0.005053,0.003467
0.005645,0.003894
0.00572,0.004309
0.005677,0.004563
0.006553,0.003323
0.00477,0.003574
0.005459,0.005654
0.005728,0.004191
0.004489,0.004383
0.005273,0.003834
0.008243,0.00359
0.006207,0.003828
0.005965,0.004593
