'B-Age','B-Height','B-Weight','E-Age','E-Height','E-Weight'
31,72,193,22,70,180
24,72,186,22,69,178
23,71,176,19,70,191
32,70,195,24,71,183
22,71,194,24,71,190
32,71,209,24,72,190
35,74,186,24,73,195
34,73,175,23,71,200
21,76,220,30,73,202
30,72,195,24,76,217
25,77,215,28,78,265
25,72,192,33,74,220
21,72,189,26,76,243
27,72,195,23,71,180
24,75,188,25,72,191
22,75,196,32,73,203
41,70,195,23,75,217
29,72,192,22,72,196
32,73,209,26,75,210
22,75,185,25,73,195
25,74,225,21,74,223
32,81,261,23,75,204
26,73,211,33,76,227
30,70,189,36,73,200
24,70,187,34,76,225
30,72,220,32,70,188
23,73,185,25,76,189
25,74,218,36,73,208
26,72,200,,,
34,72,207,,,
22,74,171,,,
25,73,190,,,
28,74,200,,,
35,71,182,,,
