'A','B','C','D','E'
-0.02,-0.043,-0.002,0.002,-0.018
-0.016,-0.051,0.024,-0.024,-0.032
-0.002,0.003,-0.014,0.022,0
-0.004,0.035,-0.006,-0.004,0
-0.014,-0.017,0.014,-0.008,-0.002
-0.006,0.032,0.034,-0.004,-0.012
-0.006,0.034,-0.032,0.012,-0.016
0.004,0.029,-0.03,0.026,-0.028
0.024,-0.016,-0.014,-0.04,-0.01
0,-0.02,-0.016,0.008,0.026
-0.008,-0.019,-0.018,0.012,0.014
-0.014,-0.026,-0.028,-0.032,0.01
0.01,-0.065,0.016,0.01,0.01
0.01,-0.011,0.008,0,0.006
0.004,-0.018,0.026,0.044,-0.006
0.014,-0.036,0.002,0.001,-0.008
0.004,-0.022,-0.012,0.014,-0.024
0.078,-0.005,0,0.006,-0.016
0.012,0,-0.01,-0.002,-0.018
0.006,0.029,-0.02,-0.024,-0.002
0.006,0.018,-0.022,-0.018,-0.014
-0.01,0.01,-0.016,-0.018,-0.016
