'Age','Gender','Length','Weight'
19,1,45,65
29,2,62,121
20,1,56,108
67,1,78,371
81,1,72,416
140,1,75,386
104,2,62,166
100,2,70,220
70,1,78,334
56,1,73.5,262
51,1,68.5,360
57,2,64,204
53,2,58,144
68,1,73,332
8,1,37,34
44,2,63,140
32,1,67,180
20,2,52,105
32,1,59,166
56,1,66,250
9,2,36,26
30,1,66.5,210
177,1,72,436
69,2,61,176
84,2,57,180
23,1,57.8,140
9,1,40,40
45,1,63,220
18,1,45,60
33,1,66.5,154
57,2,60.5,116
45,2,60,182
22,1,65,180
22,1,63,172
82,2,64,356
70,2,65,316
31,1,69,289
10,1,47,86
43,1,64,166
34,1,72,270
34,1,65,202
58,2,63,202
58,1,70.5,365
11,1,48,79
17,1,50.5,90
23,1,50,148
70,1,76.5,446
11,2,46,62
83,2,61.5,236
35,1,63.5,212
16,1,48,60
16,1,41,64
17,1,53,114
17,2,52.5,76
17,2,46,48
8,2,43.5,29
83,1,75,514
18,1,57.3,140
