'Day J-O','Month J-O','Cust J-O','Items J-O','Sales J-O'
2,1,425,1311,12707
1,1,412,1123,11467.5
4,1,470,1471,15876.8
5,1,650,1922,19977.2
3,1,447,1428,14980
4,2,843,2143,22539.8
6,2,1087,3829,38571.1
5,2,875,2716,28454
3,2,485,1363,14282.3
2,2,471,1575,14711.8
5,3,912,2860,28719.9
4,3,505,1673,16678.3
3,3,610,2044,20535.5
6,3,845,2777,29090
1,3,435,1363,13510.8
2,4,387,1044,10847.1
1,4,392,1087,10684.7
4,4,568,1646,17294.3
5,4,766,2360,24539.4
6,4,788,2341,24197.1
3,5,446,1467,14603.1
6,5,879,3174,32009
4,5,557,1960,19089.7
5,5,1034,3480,36701.6
2,5,427,1352,13389.7
1,5,423,1157,12126
3,6,471,1704,16965.8
1,6,486,1507,15394.9
2,6,399,1291,13767.9
5,6,913,3456,35766.5
6,6,777,2614,25430.6
6,7,739,2258,23711.5
3,7,521,1603,16717.6
1,7,506,1683,17742.9
2,7,441,1564,15738.2
4,7,454,1733,18740.2
1,8,465,1275,13160.7
6,8,945,3328,33820.9
4,8,585,1914,20515.9
2,8,489,1802,17588.5
3,8,500,1563,15795.5
5,8,841,2787,30232.5
1,9,484,1320,14066.1
5,9,896,2703,28595.7
3,9,531,1591,15942.4
2,9,466,1500,15904.3
4,9,612,2210,20830
6,10,860,2609,27411.9
4,10,667,2380,23964.2
5,10,960,3027,32091.9
3,10,576,1964,19347.5
2,10,498,1481,15712.3
