'Date','Duration','Interruption'
1,4.4,78
1,3.9,74
1,4,68
1,4,76
1,3.5,80
1,4.1,84
1,2.3,50
1,4.7,93
1,1.7,55
1,4.9,76
1,1.7,58
1,4.6,74
1,3.4,75
2,4.3,80
2,1.7,56
2,3.9,80
2,3.7,69
2,3.1,57
2,4,90
2,1.8,42
2,4.1,91
2,1.8,51
2,3.2,79
2,1.9,53
2,4.6,82
2,2,51
3,4.5,76
3,3.9,82
3,4.3,84
3,2.3,53
3,3.8,86
3,1.9,51
3,4.6,85
3,1.8,45
3,4.7,88
3,1.8,51
3,4.6,80
3,1.9,49
3,3.5,82
4,4,75
4,3.7,73
4,3.7,67
4,4.3,68
4,3.6,86
4,3.8,72
4,3.8,75
4,3.8,75
4,2.5,66
4,4.5,84
4,4.1,70
4,3.7,79
4,3.8,60
4,3.4,86
5,4,71
5,2.3,67
5,4.4,81
5,4.1,76
5,4.3,83
5,3.3,76
5,2,55
5,4.3,73
5,2.9,56
5,4.6,83
5,1.9,57
5,3.6,71
5,3.7,72
5,3.7,77
6,1.8,55
6,4.6,75
6,3.5,73
6,4,70
6,3.7,83
6,1.7,50
6,4.6,95
6,1.7,51
6,4,82
6,1.8,54
6,4.4,83
6,1.9,51
6,4.6,80
6,2.9,78
7,3.5,81
7,2,53
7,4.3,89
7,1.8,44
7,4.1,78
7,1.8,61
7,4.7,73
7,4.2,75
7,3.9,73
7,4.3,76
7,1.8,55
7,4.5,86
7,2,48
8,4.2,77
8,4.4,73
8,4.1,70
8,4.1,88
8,4,75
8,4.1,83
8,2.7,61
8,4.6,78
8,1.9,61
8,4.5,81
8,2,51
8,4.8,80
8,4.1,79
9,4.1,82
9,4.2,80
9,4.5,76
9,1.9,56
9,4.7,82
9,2,47
9,4.7,76
9,2.5,61
9,4.3,75
9,4.4,72
9,4.4,74
9,4.3,69
9,4.6,78
9,2.1,52
10,4.8,91
10,4.1,66
10,4,71
10,4,75
10,4.4,81
10,4.1,77
10,4.3,74
10,4,70
10,3.9,83
10,3.2,53
10,4.5,82
10,2.2,62
10,4.7,73
10,4.6,84
11,2.2,58
11,4.8,82
11,4.3,77
11,3.8,75
11,4,77
11,4.1,77
11,1.8,53
11,4.4,75
11,4,78
11,2.2,51
11,5.1,81
11,1.9,52
11,5,76
11,4.4,73
12,4.5,84
12,3.8,72
12,4.3,89
12,4.4,75
12,2.2,57
12,4.8,81
12,1.9,49
12,4.7,87
12,1.8,43
12,4.8,94
12,2,45
12,4.4,81
12,2.5,59
12,4.3,82
13,4.4,80
13,1.9,54
13,4.7,75
13,4.3,73
13,2.2,57
13,4.7,80
13,2.3,51
13,4.6,77
13,3.3,66
13,4.2,77
13,2.9,60
13,4.6,86
13,3.3,62
13,4.2,75
13,2.6,67
13,4.6,69
14,3.7,84
14,1.8,58
14,4.7,90
14,4.5,82
14,4.5,71
14,4.8,80
14,2,51
14,4.8,80
14,1.9,62
14,4.7,84
14,2,51
14,5.1,81
14,4.3,83
14,4.8,84
15,3,72
15,2.1,54
15,4.6,75
15,4,74
15,2.2,51
15,5.1,91
15,2.9,60
15,4.3,80
15,2.1,54
15,4.7,80
15,4.5,70
15,1.7,60
15,4.2,86
15,4.3,78
16,1.7,51
16,4.4,83
16,4.2,76
16,2.2,51
16,4.7,90
16,4,71
16,1.8,49
16,4.7,88
16,1.8,52
16,4.5,79
16,2.1,61
16,4.2,81
16,2.1,48
16,5.2,84
16,2,63
