'Year','Jan','Feb','Mar','Apr','May','Jun','Jul','Aug','Sep','Oct','Nov','Dec'
'1999',34.4,34.4,34.3,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4
'2000',34.4,34.4,34.3,34.4,34.3,34.3,34.3,34.2,34.2,34.3,34.2,34
'2001',34.2,34,34.1,34,34,34,34,33.9,33.8,33.7,33.8,33.9
'2002',33.8,33.8,33.9,33.9,33.9,33.9,33.8,33.9,33.9,33.8,33.8,33.8
'2003',33.8,33.6,33.8,33.6,33.7,33.6,33.6,33.7,33.6,33.7,33.7,33.6
'2004',33.7,33.8,33.7,33.7,33.8,33.6,33.7,33.7,33.7,33.7,33.7,33.8
'2005',33.7,33.7,33.7,33.8,33.7,33.7,33.7,33.7,33.8,33.8,33.8,33.8
'2006',33.9,33.8,33.8,33.9,33.8,33.9,33.9,33.9,33.8,33.9,33.9,34
'2007',33.8,33.8,33.9,33.8,33.9,33.9,33.8,33.8,33.8,33.8,33.8,33.8
'2008',33.7,33.8,33.8,33.8,33.7,33.6,33.6,33.7,33.6,33.5,33.4,33.3
'2009',33.3,33.3,33.1,33.1,33.1,33,33.1,33.1,33.1,33,33.2,
