'State','Male','Female'
'Alabama',1806697,1885065
'Alaska',262999,232250
'Arizona',2080017,2073722
'Arkansas',1011620,1034419
'California',11999307,11468145
'Colorado',1792470,1710239
'Connecticut',1413143,1435459
'Delaware',304455,320017
'Dist. of Col.',194814,201379
'Florida',6964096,7174750
'Georgia',2952451,3181847
'Hawaii',450762,412141
'Idaho',517753,509749
'Illinois 2/',4043868,4146155
'Indiana',2124324,2184521
'Iowa',1028380,1065269
'Kansas',1002772,1015447
'Kentucky',1451596,1481670
'Louisiana',1473167,1560799
'Maine 2/',501401,508379
'Maryland',1810321,1927526
'Massachusetts',2337545,2361756
'Michigan',3477277,3581678
'Minnesota',1590524,1558585
'Mississippi',921226,1005743
'Missouri',2049929,2112028
'Montana',373562,362191
'Nebraska',667586,663112
'Nevada',863558,798030
'New Hampshire',515482,511064
'New Jersey',2848602,2933553
'New Mexico',676523,688726
'New York',5907259,5462021
'North Carolina',3164898,3218644
'North Dakota',237760,232971
'Ohio',3864340,4111434
'Oklahoma',1044822,1238356
'Oregon',1431685,1395503
'Pennsylvania',4281190,4319501
'Rhode Island',367529,376264
'South Carolina',1500955,1625935
'South Dakota',294381,294165
'Tennessee',2149345,2276536
'Texas',7598184,7585939
'Utah',831555,820235
'Vermont',267519,266976
'Virginia',2561154,2698358
'Washington',2526404,2353301
'West Virginia',676171,682358
'Wisconsin',2046473,2019800
'Wyoming',205085,193198
