'State','Area (sq. mi.)','Population'
'AL',51610,4447100
'AZ',113909,5130632
'AR',53104,2673400
'CA',158693,33871648
'CO',104246,4301261
'CT',5009,3405565
'DE',2057,783600
'FL',58560,15982378
'GA',58876,8186453
'ID',83557,1293953
'IL',56399,12419293
'IN',36291,6080485
'IA',56288,2926324
'KS',82264,2688418
'KY',40395,4041769
'LA',48522,4468976
'ME',33215,1274923
'MD*',10578,5868545
'MA',8257,6349097
'MI',58214,9938444
'MN',84068,4919479
'MS',47715,2844658
'MO',69686,5595211
'MT',147138,902195
'NE',77227,1711263
'NV',110540,1998257
'NH',9304,1235786
'NJ',7836,8414350
'NM',121666,1819046
'NY',49576,18976457
'NC',52712,8049313
'ND',70665,642200
'OH',41222,11353140
'OK',69920,3450654
'OR',96981,3421399
'PA',45334,12281054
'RI',1214,1048319
'SC',31055,4012012
'SD',77047,754844
'TN',42244,5689283
'TX',267340,20851820
'UT',84916,2233169
'VT',9610,608827
'VA',40816,7078515
'WA',68192,5894121
'WV',24180,1808344
'WI',56154,5363675
'WY',97914,493782
