'AtomicWtSilver','AtomWtCoded'
107.8681568,568
107.8681465,465
107.8681572,572
107.8681785,785
107.8681446,446
107.8681903,903
107.8681526,526
107.8681494,494
107.8681616,616
107.8681587,587
107.8681519,519
107.8681486,486
107.8681419,419
107.8681569,569
107.8681508,508
107.8681672,672
107.8681385,385
107.8681518,518
107.8681662,662
107.8681424,424
107.868136,360
107.8681333,333
107.868161,610
107.8681477,477
107.8681079,79
107.8681344,344
107.8681513,513
107.8681197,197
107.8681604,604
107.8681385,385
107.8681642,642
107.8681365,365
107.8681151,151
107.8681082,82
107.8681517,517
107.8681448,448
107.8681198,198
107.8681482,482
107.8681334,334
107.8681609,609
107.8681101,101
107.8681512,512
107.8681469,469
107.868136,360
107.8681254,254
107.8681261,261
107.868145,450
107.8681368,368
